Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Ian Anderson","USI",,39.1,8.923729102045128,5.49152560125854,1.625,1.372881400314635,0.21081081,0.12972973,0.08108108,0.24516129,1.5762712373982846,0.29090909,0.65436242,5.720339167977645,6.428059907303363,-0.7077207393257181,"Ian Anderson","sa3026044",
"Brent Herrmann","HPU",23,5.1,5.062499849125747,13.49999959766866,0.375,3.374999899417165,0.08823529,0.23529412,-0.14705882,0.29166667,2.812499916180971,0.26315789,0.56338028,13.49999959766866,14.208372504264126,-0.708372906595466,"Brent Herrmann","sa3059484",
"Mason Bixby","TCU",,18.1,11.781817773235746,9.818181477696454,1.2,0.4909090738848227,0.25531915,0.21276596,0.04255319,0.1969697,1.7999999375776832,0.29268293,0.70707071,5.890908886617873,6.59947803071708,-0.708569144099207,"Mason Bixby","sa3027186",
"Evan Fry","NKU",,31.2,10.515789684813443,7.105263300549623,1.48,1.4210526601099247,0.22699387,0.15337423,0.07361963,0.29230769,1.9894737241538947,0.375,0.65625,7.105263300549623,7.814042213682985,-0.7087789131333615,"Evan Fry","sa3059245",
"Owen Marsh","BEL",21,32,8.15625,5.90625,1.38095238,1.96875,0.18709677,0.13548387,0.0516129,0.3030303,1.90625,0.34375,0.65789474,7.03125,7.740951728820801,-0.709701728820801,"Owen Marsh","sa3037116",
"Harun Pelja","YSU",,29.1,7.05681802886577,8.284090729538079,0.85185185,0.6136363503361539,0.14285714,0.16770186,-0.02484472,0.24347826,1.8749999593604703,0.28888889,0.56179775,8.284090729538079,8.994664079000145,-0.7105733494620665,"Harun Pelja","sa3060229",
"Kaden Youmans","ARMY",,22.1,6.447761010475699,4.432835694702043,1.45454545,1.2089551894641937,0.16326531,0.1122449,0.05102041,0.24705882,1.432835780105711,0.27272727,0.63758389,6.044775947320968,6.755477610354596,-0.7107016630336283,"Kaden Youmans","sa3065631",
"Wylan Moss","UCLA",,47.1,9.316901658740559,2.8521127526756813,3.26666667,0.19014085017837873,0.25388601,0.07772021,0.1761658,0.23428571,1.1830986233321343,0.32,0.74652778,2.4718310523189237,3.182829136783181,-0.7109980844642574,"Wylan Moss","sa3060100",
"Jackson Kranawetter","SEMO",,42,12,1.5,8,0.8571428571428571,0.31818182,0.03977273,0.27840909,0.23030303,1.0714285714285714,0.32380952,0.69124424,2.7857142857142856,3.497067097255162,-0.7113528115408765,"Jackson Kranawetter","sa3059721",
"Kyson Witherspoon","OU",20,95,11.74736842105263,2.1789473684210527,5.39130435,0.8526315789473684,0.31794872,0.05897436,0.25897436,0.20448179,1.0105263157894737,0.28571429,0.71734475,2.6526315789473682,3.3645416761699476,-0.7119100972225794,"Kyson Witherspoon","sa3045487",
"Matthew Lanzendorfer","UVA",,31,11.612903225806452,3.774193548387097,3.07692308,0.5806451612903226,0.30769231,0.1,0.20769231,0.20175439,1.1612903225806452,0.29166667,0.66298343,2.903225806451613,3.615270143939603,-0.7120443374879901,"Matthew Lanzendorfer","sa3059755",
"Matt Hamilton","DAV",,18,10.5,5,2.1,2.5,0.24418605,0.11627907,0.12790698,0.28378378,1.7222222222222223,0.33333333,0.61538462,7,7.714400111304389,-0.7144001113043892,"Matt Hamilton","sa3066680",
"Brendon Carter","TAR",22,22.2,6.750000189332407,2.3823530079996726,2.83333333,1.5882353386664485,0.16831683,0.05940594,0.10891089,0.21111111,1.102941207407256,0.2173913,0.6147541,5.955882519999182,6.674470201660607,-0.7185876816614245,"Brendon Carter","sa3065512",
"Aidan Risse","SF",23,70.1,7.549762760189011,3.3270140977104115,2.26923077,1.2796208068116968,0.18611987,0.08201893,0.10410095,0.28368794,1.5071089502448873,0.3286385,0.67326733,5.2464453079279565,5.965573088894269,-0.7191277809663124,"Aidan Risse","sa3060377",
"Will Jordan","TTU",,19.1,11.172413425695044,6.517241164988776,1.71428571,0.4655172260706268,0.27906977,0.1627907,0.11627907,0.22058824,1.4999999506720196,0.3255814,0.7278481,4.189655034635641,4.909509439048813,-0.719854404413172,"Will Jordan","sa3059630",
"J.D. McCracken","RICE",22,71,4.690140845070423,4.563380281690141,1.02777778,1.5211267605633803,0.11011905,0.10714286,0.00297619,0.25783972,1.5492957746478873,0.2605042,0.61205273,6.464788732394366,7.184996621037873,-0.7202078886435066,"J.D. McCracken","sa3037512",
"Billy Hoffacker","LEM",23,32,9.84375,4.21875,2.33333333,1.125,0.22875817,0.09803922,0.13071895,0.26315789,1.5625,0.32978723,0.60728745,5.90625,6.626830768585205,-0.7205807685852053,"Billy Hoffacker","sa3033915",
"Cole Gilley","IU",23,68.2,9.830097451445106,2.6213593203853613,3.75,1.0485437281541445,0.25951557,0.06920415,0.19031142,0.20833333,1.0922330501605673,0.25966851,0.65406977,3.538835082520238,4.260088844570793,-0.7212537620505555,"Cole Gilley","sa3032230",
