Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Conor Wolf","SBU",21,1,1,13.212765689347334,15,0,0,0,0,15.2,108,32,31,23,5,18,5,4,0,12,"Conor Wolf","sa3060954",
"Chase Buscher","UNCA",,0,1,28.928572413872732,13,0,0,0,0,9.1,81,14,33,30,3,33,6,6,1,12,"Chase Buscher","sa3062820",
"Zachary Gaydos","UNCA",,0,3,20.250000689710912,11,2,0,0,0,9.1,65,15,23,21,5,20,2,4,1,12,"Zachary Gaydos","sa3062838",
"Brady Pavlovsky","SJSU",,0,1,5.837837988308004,13,0,0,0,0,12.1,64,11,11,8,1,14,0,2,0,12,"Brady Pavlovsky","sa3062885",
"Caiden Stewart","SOU",,1,0,16.615384615384617,8,1,0,0,0,13,79,20,26,24,2,18,6,4,0,12,"Caiden Stewart","sa3062909",
"Stephen Tolbert","SOU",,0,1,11.475000273585326,9,0,0,0,0,13.1,76,21,19,17,1,18,1,6,0,12,"Stephen Tolbert","sa3062911",
"Ben Rabatin","KENT",20,0,0,6.3947366816185225,12,1,0,0,0,12.2,55,12,9,9,2,6,1,1,0,12,"Ben Rabatin","sa3065115",
"Quincy Thornton","UTM",22,0,2,8.409835802614937,5,3,0,0,0,20.1,104,30,22,19,2,13,4,3,0,12,"Quincy Thornton","sa3065149",
"Michael Vitellaro","UIC",,1,2,5.062500120699409,21,0,0,0,0,26.2,112,20,15,15,5,7,7,1,0,12,"Michael Vitellaro","sa3065158",
"Ryan Dieguez","STBK",,0,0,10.657894469364205,13,0,0,0,1,12.2,63,11,15,15,3,13,2,6,0,12,"Ryan Dieguez","sa3065288",
"Casen Murphy","LOU",,0,1,8.640000329589856,14,2,0,0,0,16.2,93,24,18,16,5,12,4,5,0,12,"Casen Murphy","sa3065370",
"Jake Lankie","GT",20,0,1,6.096774381107649,8,0,0,0,0,10.1,48,13,7,7,1,4,1,0,0,12,"Jake Lankie","sa3065555",
"Austin Laughlin","WOF",,1,1,7.071428571428571,9,2,0,0,0,14,59,12,11,11,2,7,1,1,0,12,"Austin Laughlin","sa3065819",
"Joseph Barbarino","FDU",,0,1,11.172413425695044,11,2,0,0,0,19.1,109,32,26,24,5,15,5,0,1,12,"Joseph Barbarino","sa3065900",
"Michael Dudolski","DAY",,2,1,5.478260869565218,15,1,0,0,2,23,105,26,17,14,2,10,3,1,0,12,"Michael Dudolski","sa3065915",
"Lane Duff","JMU",20,0,0,9.947368171406591,16,0,0,0,0,12.2,66,11,16,14,1,15,3,2,0,12,"Lane Duff","sa3065916",
"Leighton Harris","UK",,1,1,3.6486487426925027,10,1,0,0,0,12.1,61,17,5,5,0,7,2,1,0,12,"Leighton Harris","sa3065928",
"Maverick Torres","WES",,0,0,5,10,3,0,0,0,18,77,20,11,10,3,6,0,2,0,12,"Maverick Torres","sa3065960",
"Adam Horvath","JMU",19,2,1,3.578313335242061,17,0,0,0,2,27.2,125,29,12,11,2,10,5,2,0,12,"Adam Horvath","sa3066199",
"Tyler Andrews","MILW",,2,1,8.100000193119053,15,0,0,0,0,13.1,71,20,12,12,3,6,6,0,0,12,"Tyler Andrews","sa3066364",
"Matthew Driver","MTSU",22,0,1,7.630434940803257,13,1,0,0,0,15.1,84,26,15,13,6,9,4,0,0,12,"Matthew Driver","sa3066612",
"Nate Fletcher","URI",,2,0,8.345454256041986,19,0,0,0,0,18.1,90,13,18,17,3,14,8,4,0,12,"Nate Fletcher","sa3066615",
"Derek Lebron","MUR",,2,0,6.136363503361539,13,0,0,0,1,14.2,71,16,13,10,1,10,2,0,0,12,"Derek Lebron","sa3066687",
"Julian Cazares","UCSD",,0,0,8.709677687296642,11,0,0,0,0,10.1,50,14,12,10,1,4,1,1,0,12,"Julian Cazares","sa3066734",
"Charles Batista","RUTG",19,2,0,2.160000082397464,9,0,0,0,0,8.1,37,3,4,2,0,7,2,1,0,12,"Charles Batista","sa3066784",
"Gus Magill","COR",,0,2,3.176470677332897,6,0,0,0,0,11.1,53,6,4,4,0,9,5,2,0,12,"Gus Magill","sa3067055",
"Jacob Hines","CCSU",,1,2,6.750000160932545,5,4,0,0,0,13.1,59,14,12,10,1,6,1,0,0,12,"Jacob Hines","sa3067182",
"Ethan Walker","TEX",21,1,0,4.395348934691428,10,2,0,0,0,14.1,59,10,10,7,0,2,6,0,0,12,"Ethan Walker","sa3067187",
"Tyler Alleman","SCU",,0,2,11.842105263157896,12,2,0,0,0,19,107,31,28,25,5,17,4,0,0,11,"Tyler Alleman","sa3025906",
"Kyle Bade","OKST",20,0,0,9.720000370788588,10,0,0,0,0,8.1,45,7,11,9,2,11,0,2,0,11,"Kyle Bade","sa3026376",
"Blake Barker","UVA",22,0,0,6.75,12,0,0,0,0,8,47,11,6,6,0,10,2,2,1,11,"Blake Barker","sa3026568",
"Colby Barker","MRMK",,1,1,6.096774381107649,13,3,0,0,0,20.2,104,25,20,14,4,9,5,1,0,11,"Colby Barker","sa3026571",
"Jackson Beattie","NAVY",,1,1,8.82692275315348,12,0,0,0,0,17.1,93,30,22,17,4,6,4,2,0,11,"Jackson Beattie","sa3026809",
"Sam Beck","OMA",23,1,0,6.3947366816185225,6,0,0,0,2,12.2,59,10,11,9,0,7,2,1,0,11,"Sam Beck","sa3026838",
