Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Austin Hawke","WAKE",,171,0.198830409,0.198830409,1,0.303030303,0.443786982,0.59090909,1.034696072,0.287878787,5.037719200911501,0.333333333,-0.06747352797538042,40.3516207554463,8.997405520928247,0.4534392748358687,128.69599973601936,"Austin Hawke","sa3033421",
"Chayton Krauss","DBU",22,263,0.106463878,0.212927756,0.5,0.331858407,0.399239543,0.615044247,1.01428379,0.28318584,4.631011545451283,0.37037037,0.32983372174203396,56.81106269900126,12.656420564096402,0.4345730738041519,128.66385039522567,"Chayton Krauss","sa3035692",
"Marcus Brodil","USF",22,239,0.154811715,0.267782426,0.578125,0.329896907,0.447698744,0.443298969,0.890997713,0.113402062,4.48759811168623,0.472868217,-0.8672543838620186,48.995660794821625,10.869412047711256,0.4271050659183678,128.50899945548687,"Marcus Brodil","sa3027733",
"Colton Lomanto","UCSD",23,152,0.065789473,0.210526315,0.3125,0.272,0.38,0.592,0.972,0.32,5.38531230235078,0.290697674,-0.26732452400028706,30.034710698561923,6.659079604583042,0.42731074889500936,128.48727197058776,"Colton Lomanto","sa3036469",
"Jonathan Mendez","UCSB",,250,0.088,0.156,0.564102564,0.313636363,0.392,0.559090909,0.951090909,0.245454546,5.446072080229548,0.339181286,0.7338609676808119,49.38553411041547,10.938772442687046,0.4272504434585571,128.45173941364448,"Jonathan Mendez","sa3037848",
"Nate Anderson","KENN",23,277,0.122743682,0.14801444,0.829268292,0.317180616,0.429090909,0.528634361,0.95772527,0.211453745,8.372051287504604,0.344632768,3.097213637083769,59.73410664832442,13.229027289508267,0.43419184121218596,128.4464137507173,"Nate Anderson","sa3026066",
"Ty Doucette","RUTG",,276,0.119565217,0.134057971,0.891891891,0.35021097,0.43115942,0.556962025,0.988121445,0.206751055,3.806190497535222,0.368421052,-0.0676107257604599,61.87212915612248,13.660265578756606,0.4406910532194635,128.33382608584688,"Ty Doucette","sa3030503",
"Keegan Garis","INST",23,216,0.134259259,0.180555555,0.743589743,0.282208588,0.440758293,0.515337423,0.956095716,0.233128835,6.194827973952038,0.318965517,-0.011951746419072151,47.79311784325802,10.534926853763698,0.4353940136624739,128.27546527080239,"Keegan Garis","sa3031977",
"Jamie Daly","DAV",19,211,0.123222748,0.222748815,0.553191489,0.317647058,0.436893203,0.54117647,0.978069673,0.223529412,6.176995982285511,0.4,-0.07698721624910831,48.09499566452845,10.587666051558095,0.4464711280702387,128.22825874518347,"Jamie Daly","sa3058978",
"Alec Atkinson","YALE",23,174,0.045977011,0.132183908,0.347826086,0.319148936,0.404761904,0.475177304,0.879939208,0.156028368,6.764936432984865,0.347457627,0.7202007309533656,33.471729049559215,7.36568159806309,0.4086448972423871,128.21446491181095,"Alec Atkinson","sa3026280",
