Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Tye Wood","UNM",22,203,0.167487684,0.221674876,0.755555555,0.316770186,0.447761194,0.50931677,0.957077964,0.192546584,6.8680742503712775,0.410714285,0.8062667101621628,45.952691901587485,11.63744900014305,0.43563302031796963,133.91335166580797,"Tye Wood","sa3045546",
"Theo Bryant IV","TULN",23,108,0.129629629,0.166666666,0.777777777,0.311111111,0.411214953,0.566666666,0.977881619,0.255555555,4.955627060532682,0.328358208,0.20999207347631454,23.070000757303056,5.841402997102558,0.4365541628588026,133.90527237565837,"Theo Bryant IV","sa3027930",
"Trey Lipsey","OSU",22,242,0.173553719,0.152892561,1.135135135,0.3,0.468879668,0.5,0.968879668,0.2,7.288956208725042,0.34057971,1.462356811389327,56.59785355978023,14.325132597017403,0.4508650127288217,133.8874155028632,"Trey Lipsey","sa3036378",
"Anthony Zarlingo","M-OH",,278,0.17266187,0.12589928,1.371428571,0.343891402,0.459854014,0.493212669,0.953066683,0.149321267,7.4988263892823,0.389189189,1.3267682702862658,64.0361447192247,16.20383812556815,0.44725994841895833,133.8763469284943,"Anthony Zarlingo","sa3045809",
"Jarrett Pokrovsky","PENN",21,188,0.069148936,0.143617021,0.481481481,0.335329341,0.393617021,0.532934131,0.926551152,0.19760479,3.822852499040946,0.378571428,-0.6226534002926201,37.75528703970846,9.54875301165518,0.41744038113888277,133.8529824407292,"Jarrett Pokrovsky","sa3040028",
"Trevor Cohen","RUTG",,273,0.109890109,0.054945054,2,0.387234042,0.459558823,0.523404255,0.982963078,0.136170213,6.15426829340856,0.402714932,1.6883730115368962,63.82727928751096,16.139457705551237,0.45078544406329885,133.84398190177927,"Trevor Cohen","sa3029111",
"CJ Moran","SDSU",,192,0.104166666,0.114583333,0.909090909,0.37735849,0.458333333,0.484276729,0.942610062,0.106918239,3.270791095062113,0.422535211,-0.3930250257253647,43.4391785357348,10.983382293974543,0.43551207706332207,133.84105018456592,"CJ Moran","sa3060083",
"Logan Braunschweig","UAB",22,248,0.153225806,0.137096774,1.117647058,0.31862745,0.437246963,0.5,0.937246963,0.18137255,7.680128816693751,0.35582822,2.7615347504615784,52.94875177560917,13.386786548482092,0.43643551968369887,133.83751659359672,"Logan Braunschweig","sa3027614",
"Parks Bouck","LIP",,225,0.097777777,0.102222222,0.956521739,0.338624338,0.427272727,0.47089947,0.898172197,0.132275132,3.350818318114851,0.36419753,-1.5590353151783347,44.89524185609161,11.350064053648099,0.42450054694305767,133.8351584257256,"Parks Bouck","sa3027443",
"Logan Gregorio","NIU",20,260,0.092307692,0.13076923,0.705882352,0.331877729,0.4,0.659388646,1.059388646,0.327510917,3.0938157785149625,0.322222222,-0.6615768930641934,59.860832323118224,15.125581552072541,0.44714991862957293,133.81132617202712,"Logan Gregorio","sa3059355",
